,lat,lon,timestamp,amenity,name,tags
7666,49.2680714,-123.1568116,2016-02-07T00:30:16.000-08:00,restaurant,Burgoo,N/A
7669,49.2680988,-123.1580755,2019-03-23T21:11:37.000-07:00,restaurant,Maria's Taverna,N/A
7679,49.1304635,-122.3235243,2019-11-10T11:08:25.000-08:00,restaurant,Corona's Mexican Restaurant,['mexican']
7683,49.2681956,-123.1484606,2016-02-07T23:52:50.000-08:00,restaurant,Spoon Kitchen,N/A
7689,49.2683097,-123.1546683,2016-02-07T23:52:33.000-08:00,restaurant,Bishop's,N/A
7693,49.268201,-123.1486188,2019-08-29T18:31:06.000-07:00,restaurant,Freshii,['salad']
7694,49.2682731,-123.1536977,2016-02-07T23:52:37.000-08:00,restaurant,Connie's Cook House,N/A
7696,49.2681756,-123.1481478,2016-02-07T23:52:52.000-08:00,restaurant,Tractor,N/A
7703,49.2682306,-123.1517425,2020-03-11T23:28:08.000-07:00,restaurant,Sushi Nova,N/A
7706,49.2682348,-123.1518413,2019-10-21T00:29:21.000-07:00,restaurant,Nelly's Grill,['breakfast']
7707,49.2679785,-123.1514269,2020-02-25T19:13:21.000-08:00,restaurant,Their There,N/A
7711,49.2682334,-123.1515788,2020-02-25T19:13:21.000-08:00,restaurant,TurF,N/A
7733,49.2738934,-123.1327757,2019-08-21T03:34:51.000-07:00,restaurant,Ancora,"['peruvian', 'japanese']"
7741,49.2664116,-123.0140254,2012-03-10T06:54:33.000-08:00,restaurant,White Spot,N/A
7749,49.2834375,-123.10443,2018-02-02T06:48:12.000-08:00,restaurant,Peckinpah,['barbecue']
7750,49.2766922,-123.1202664,2019-09-13T13:57:03.000-07:00,restaurant,The Parlour,N/A
7770,49.2776864,-123.116068,2017-11-08T20:05:45.000-08:00,restaurant,Grounds for Appeal,N/A
7772,49.3139854,-123.0790093,2019-09-13T13:57:03.000-07:00,restaurant,Vaades,['indian']
7773,49.3139495,-123.0789109,2019-09-13T13:57:03.000-07:00,restaurant,Hanok,['korean']
7777,49.0356867,-122.2921086,2019-05-03T23:33:26.000-07:00,restaurant,"Browns Socialhouse McCallum, Abbotsford",N/A
7778,49.0356563,-122.2919343,2019-02-20T02:42:05.000-08:00,restaurant,Little Saigon,['vietnamese']
7784,49.2805215,-122.9648581,2020-01-19T22:34:37.000-08:00,restaurant,Cozmos Cafe + Bistro,N/A
7785,49.2805195,-122.9657277,2020-01-19T23:19:33.000-08:00,restaurant,Saray Turkish Cuisine,['turkish']
7787,49.1253012,-123.1816751,2014-09-14T19:33:58.000-07:00,restaurant,Steveston Seafood House,['seafood']
7789,49.2775279,-122.8078057,2014-08-29T20:47:56.000-07:00,restaurant,Pasta Polo,['italian']
7790,49.2667088,-123.0046655,2020-02-21T01:55:01.000-08:00,restaurant,Sooda Korean BBQ,['korean']
7793,49.1330296,-123.0962758,2015-12-04T09:36:24.000-08:00,restaurant,Kisha Poppo Japanese Resturant,['sushi']
7794,49.0488696,-122.3040005,2017-12-27T01:40:04.000-08:00,restaurant,O'Neills Home Cooking,['sandwich']
7813,49.2879481,-123.1238127,2016-07-12T23:23:12.000-07:00,restaurant,SushiGo,['sushi']
7814,49.258962,-123.0076085,2019-07-11T03:10:20.000-07:00,restaurant,Creme De La Crumb,N/A
7819,49.2769091,-123.1307701,2019-09-13T13:57:03.000-07:00,restaurant,RV's Butter Kitchen,['indian']
7836,49.2615373,-123.0696114,2018-03-14T01:13:24.000-07:00,restaurant,Daddy's Kitchen,N/A
7850,49.28049,-123.1316384,2018-02-10T15:24:44.000-08:00,restaurant,Taki's Taverna,['greek']
7852,49.2629504,-123.0974611,2019-09-13T13:57:05.000-07:00,restaurant,Cafe D'Afrique,N/A
7855,49.263431,-123.1365721,2019-09-13T13:57:05.000-07:00,restaurant,Masa Japanese Restaurant,['japanese']
7856,49.1713632,-123.1356091,2019-10-29T03:23:55.000-07:00,restaurant,Specialty Chicken & Wonton House,N/A
7857,49.1713722,-123.1350086,2019-10-28T15:41:35.000-07:00,restaurant,Top Shanghai Cuisine Restaurant,['chinese']
7858,49.1723097,-123.1324388,2019-09-13T13:57:05.000-07:00,restaurant,Home BBQ,N/A
7859,49.172308,-123.1332139,2019-09-13T13:57:05.000-07:00,restaurant,Su Hang Restaurant,N/A
7944,49.2627678,-123.0563725,2019-09-13T13:57:02.000-07:00,restaurant,Yook Korean Grilled BBQ and Bistro,['korean']
7957,49.1887757,-122.8028692,2016-05-22T20:24:50.000-07:00,restaurant,Migoto sushi,"['japanese', 'sushi']"
7959,49.189306,-122.8026622,2019-10-29T18:02:14.000-07:00,restaurant,Freshii,['salad']
7963,49.1885728,-122.7965763,2018-12-19T09:04:46.000-08:00,restaurant,Sushi Train,"['japanese', 'sushi']"
7968,49.2591196,-123.0693498,2019-12-13T08:08:28.000-08:00,restaurant,Gojo Little Africa Cafe,"['international', 'ethiopian']"
7993,49.280638,-123.1310878,2018-10-26T20:30:39.000-07:00,restaurant,Cazba,['persian']
8092,49.0895074,-123.0790181,2019-07-06T07:48:56.000-07:00,restaurant,Mt. Fuji,['sushi']
8097,49.0891536,-123.0799312,2019-07-06T07:48:56.000-07:00,restaurant,,['chinese']
8103,49.1244671,-123.1818625,2019-09-13T13:57:05.000-07:00,restaurant,Yokohama Teppanyaki & Sushi Bar,['japanese']
8104,49.1246171,-123.1816333,2019-09-13T13:57:05.000-07:00,restaurant,Porthole Steveston,N/A
8105,49.1243761,-123.1845989,2019-09-13T13:57:05.000-07:00,restaurant,G-Men Ramen,['noodle']
8106,49.091413,-123.0789202,2019-07-07T21:50:17.000-07:00,restaurant,Maguro Sushi,['japanese']
8108,49.115801,-123.0619967,2019-07-07T22:04:14.000-07:00,restaurant,RiverHouse,N/A
8111,49.0906097,-123.0802207,2020-04-17T15:59:57.000-07:00,restaurant,Chopped Leaf,N/A
8113,49.1118014,-123.0524742,2019-07-07T23:27:07.000-07:00,restaurant,Primerose,['mediterranean']
8121,49.2333359,-123.0347029,2018-05-18T05:38:09.000-07:00,restaurant,Gold Train Express Restaurant,['vietnamese']
8132,49.0583832,-122.3780427,2019-04-27T20:37:06.000-07:00,restaurant,Famoso Neapolitan Pizzeria,['pizza']
8136,49.0582753,-122.3790558,2017-02-19T03:28:29.000-08:00,restaurant,Ono's Sushi,['sushi']
8137,49.0584965,-122.3808116,2019-02-20T02:38:28.000-08:00,restaurant,Milestones,N/A
8138,49.0582246,-122.3808805,2019-04-01T17:53:58.000-07:00,restaurant,The Canadian Brewhouse & Grill,N/A
8142,49.05866,-122.380541,2019-02-20T02:38:27.000-08:00,restaurant,Mucho Burrito,['mexican']
8147,49.0587782,-122.3795062,2019-09-02T22:08:25.000-07:00,restaurant,FATBURGER,['sandwich']
8169,49.2711552,-123.06939560000001,2019-10-04T00:33:32.000-07:00,restaurant,Sopra Sotto,['italian']
8170,49.2702991,-123.0694279,2019-11-02T23:23:36.000-07:00,restaurant,Libra Room,N/A
8172,49.2890203,-123.1221386,2019-10-04T18:47:13.000-07:00,restaurant,JOS,['pizza']
8178,49.1066722,-122.6617669,2019-10-06T22:29:19.000-07:00,restaurant,Sehmi,['japanese']
8183,49.278102,-122.9099445,2019-10-07T05:01:09.000-07:00,restaurant,The Chopped Leaf,N/A
8184,49.2781344,-122.9101527,2019-10-07T05:01:09.000-07:00,restaurant,Togo Sushi,['sushi']
8186,49.2781668,-122.910361,2019-10-07T05:01:09.000-07:00,restaurant,Chef Hung,['chinese']
8208,49.2435959,-123.0623586,2018-06-20T15:09:52.000-07:00,restaurant,Happy Family Restaurant,['chinese']
8211,49.2847075,-123.1100401,2018-12-18T01:04:32.000-08:00,restaurant,MoMo Sushi,N/A
8212,49.2827611,-123.1096481,2019-03-22T02:53:41.000-07:00,restaurant,Nuba,['lebanese']
8214,49.1997143,-122.7779087,2012-10-02T04:09:50.000-07:00,restaurant,Pho Hung,['vietnamese']
8219,49.2402115,-123.0649324,2017-02-25T04:05:46.000-08:00,restaurant,Angkor Restaurant,['asian']
8220,49.240412,-123.0655441,2016-06-01T20:49:12.000-07:00,restaurant,Deutsches Haus Restaurant,['german']
8230,49.2678955,-123.0694445,2018-10-26T20:30:07.000-07:00,restaurant,Spade,"['coffee', 'bistro']"
8236,49.245058,-123.0653916,2012-10-03T17:40:48.000-07:00,restaurant,Pho Duy Vietnamese Restaurant,['vietnamese']
8242,49.2679231,-123.069879,2019-07-17T21:24:14.000-07:00,restaurant,Belgian Fries,N/A
8246,49.3361269,-123.0393028,2016-02-18T19:57:58.000-08:00,restaurant,Brown's Socialhouse Lynn Valley,N/A
8250,49.2733734,-123.0693436,2019-12-25T01:10:37.000-08:00,restaurant,Oca Pastificio,N/A
8254,49.2446462,-123.0644833,2016-06-15T07:05:33.000-07:00,restaurant,Mui Ngo Gai,['vietnamese']
8256,49.2382511,-123.0651615,2019-09-13T13:56:49.000-07:00,restaurant,Kawa Sushi,N/A
8268,49.0562149,-122.380711,2020-01-19T23:57:49.000-08:00,restaurant,Denny's,['american']
